 v,          wavenumber  
 0,          15831.67 
 1,          15955.83 
 2,          16078.45 
 3,          16199.50 
 4,          16318.98 
 5,          16436.89 
 6,          16553.19 
 7,          16667.84 
 8,          16780.83 
 9,          16892.18 
10,          17001.81 
11,          17109.73 
12,          17215.91 
13,          17320.34 
14,          17422.98 
15,          17523.81 
16,          17622.82 
17,          17719.97 
18,          17815.23 
19,          17908.62 
20,          18000.07 
21,          18089.59 
22,          18177.14 
23,          18262.71 
24,          18346.29 
25,          18427.84 
26,          18507.36 
27,          18584.83 
28,          18660.24 
29,          18733.58 
30,          18804.83 
31,          18873.99 
32,          18941.05 
33,          19006.00 
34,          19068.84 
35,          19129.56 
36,          19188.15 
37,          19244.70 
38,          19299.17 
39,          19351.56 
40,          19401.90 
41,          19450.19 
42,          19496.46 
43,          19540.73 
44,          19583.03 
45,          19623.42 
46,          19661.87 
47,          19698.48 
48,          19733.26 
49,          19766.23 
50,          19797.42 
51,          19826.90 
52,          19854.73 
53,          19880.91 
54,          19905.52 
55,          19928.62 
56,          19950.20 
57,          19970.34 
58,          19989.06 
59,          20006.42 
60,          20022.48 
61,          20037.29 
62,          20050.87 
63,          20063.28 
64,          20074.61 
65,          20084.89 
66,          20094.14 
67,          20102.45 
68,          20109.86 
69,          20116.42 
70,          20122.19 
71,          20127.24 
72,          20131.62 
